Tournament,Stage,Match Type,Map,Agent,Pick Rate
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,breach,50%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,sova,25%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,sage,25%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,raze,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,waylay,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,vyse,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,skye,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,reyna,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,astra,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,phoenix,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,omen,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,kayo,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,jett,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,iso,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,harbor,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,fade,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,deadlock,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,clove,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,chamber,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,All Maps,yoru,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,neon,100%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,tejo,100%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,killjoy,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,brimstone,100%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,cypher,100%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,viper,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,gekko,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,breach,100%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,sova,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,sage,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,raze,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,waylay,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,vyse,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,skye,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,reyna,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,astra,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,phoenix,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,omen,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,kayo,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,jett,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,iso,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,harbor,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,fade,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,deadlock,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,clove,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,chamber,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Fracture,yoru,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,neon,50%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,tejo,50%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,killjoy,100%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,brimstone,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,cypher,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,viper,100%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,gekko,100%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,breach,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,sova,50%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,sage,50%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,raze,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,waylay,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,vyse,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,skye,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,reyna,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,astra,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,phoenix,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,omen,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,kayo,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,jett,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,iso,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,harbor,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,fade,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,deadlock,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,clove,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,chamber,0%
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Icebox,yoru,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,viper,67%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,yoru,50%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,fade,50%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,raze,50%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,tejo,33%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,neon,33%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,gekko,33%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,killjoy,33%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,cypher,33%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,brimstone,33%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,astra,17%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,sage,17%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,breach,17%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,omen,17%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,sova,17%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,waylay,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,vyse,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,chamber,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,skye,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,deadlock,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,reyna,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,harbor,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,phoenix,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,kayo,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,jett,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,iso,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,All Maps,clove,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,viper,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,yoru,50%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,fade,50%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,raze,50%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,tejo,50%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,neon,50%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,gekko,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,killjoy,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,cypher,100%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,brimstone,100%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,astra,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,sage,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,breach,50%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,omen,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,sova,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,waylay,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,vyse,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,chamber,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,skye,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,deadlock,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,reyna,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,harbor,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,phoenix,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,kayo,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,jett,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,iso,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Fracture,clove,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,viper,100%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,yoru,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,fade,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,raze,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,tejo,50%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,neon,50%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,gekko,100%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,killjoy,100%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,cypher,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,brimstone,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,astra,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,sage,50%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,breach,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,omen,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,sova,50%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,waylay,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,vyse,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,chamber,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,skye,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,deadlock,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,reyna,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,harbor,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,phoenix,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,kayo,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,jett,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,iso,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Icebox,clove,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,viper,100%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,yoru,100%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,fade,100%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,raze,100%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,tejo,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,neon,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,gekko,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,killjoy,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,cypher,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,brimstone,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,astra,50%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,sage,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,breach,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,omen,50%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,sova,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,waylay,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,vyse,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,chamber,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,skye,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,deadlock,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,reyna,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,harbor,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,phoenix,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,kayo,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,jett,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,iso,0%
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,clove,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,omen,80%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,viper,50%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,tejo,50%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,yoru,40%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,cypher,40%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,fade,40%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,kayo,30%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,raze,30%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,neon,20%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,breach,20%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,killjoy,20%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,brimstone,20%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,jett,10%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,gekko,10%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,deadlock,10%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,sova,10%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,vyse,10%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,astra,10%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,iso,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,harbor,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,phoenix,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,clove,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,reyna,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,sage,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,skye,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,chamber,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,waylay,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,omen,100%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,viper,75%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,tejo,25%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,yoru,75%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,cypher,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,fade,100%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,kayo,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,raze,75%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,neon,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,breach,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,killjoy,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,brimstone,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,jett,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,gekko,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,deadlock,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,sova,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,vyse,25%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,astra,25%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,iso,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,harbor,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,phoenix,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,clove,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,reyna,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,sage,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,skye,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,chamber,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Split,waylay,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,omen,100%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,viper,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,tejo,50%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,yoru,50%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,cypher,100%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,fade,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,kayo,50%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,raze,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,neon,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,breach,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,killjoy,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,brimstone,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,jett,50%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,gekko,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,deadlock,50%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,sova,50%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,vyse,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,astra,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,iso,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,harbor,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,phoenix,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,clove,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,reyna,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,sage,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,skye,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,chamber,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,waylay,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,omen,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,viper,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,tejo,50%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,yoru,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,cypher,100%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,fade,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,kayo,50%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,raze,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,neon,100%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,breach,100%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,killjoy,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,brimstone,100%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,jett,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,gekko,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,deadlock,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,sova,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,vyse,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,astra,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,iso,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,harbor,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,phoenix,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,clove,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,reyna,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,sage,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,skye,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,chamber,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,waylay,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,omen,100%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,viper,100%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,tejo,100%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,yoru,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,cypher,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,fade,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,kayo,50%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,raze,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,neon,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,breach,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,killjoy,100%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,brimstone,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,jett,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,gekko,50%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,deadlock,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,sova,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,vyse,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,astra,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,iso,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,harbor,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,phoenix,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,clove,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,reyna,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,sage,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,skye,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,chamber,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Icebox,waylay,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,omen,83%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,tejo,50%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,cypher,42%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,yoru,33%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,jett,33%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,viper,33%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,fade,33%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,sova,25%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,raze,25%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,kayo,25%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,killjoy,25%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,breach,17%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,gekko,17%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,deadlock,17%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,astra,17%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,neon,8%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,chamber,8%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,vyse,8%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,iso,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,harbor,0%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,phoenix,0%
