tournament,stage,match_type,match_name,map,elimination,detonated,defused,time_expiry_no_plant,eliminated,defused_failed,detonation_denied,time_expiry_failed_to_plant,team_id
VCT 2025: Pacific Stage 1,Group Stage,Week 2,TALON vs Rex Regum Qeon,Lotus,5,0,3,0,7,1,5,0,8304
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,T1 vs Paper Rex,Lotus,2,0,0,0,6,0,7,0,14
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 3,DRX vs Paper Rex,Lotus,8,0,5,0,9,2,0,0,624
VCT 2025: China Stage 1,Group Stage,Week 4,EDward Gaming vs Titan Esports Club,Haven,9,2,2,0,2,1,2,0,1120
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Titan Esports Club vs Wolves Esports,Icebox,8,1,3,1,7,0,2,1,13790
VCT 2025: Americas Stage 1,Group Stage,Week 1,G2 Esports vs FURIA,Lotus,8,4,0,1,9,0,1,0,11058
VCT 2025: Americas Stage 1,Group Stage,Week 5,MIBR vs FURIA,Split,10,2,1,0,7,0,1,0,7386
Valorant Masters Bangkok 2025,Playoffs,Upper Final,EDward Gaming vs G2 Esports,Lotus,7,0,1,0,8,1,4,0,1120
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Abyss,3,0,0,0,8,4,1,0,7035
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,Abyss,3,1,3,0,9,1,3,0,1184
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Evil Geniuses vs LOUD,Pearl,8,0,5,0,6,2,2,0,6961
VCT 2025: Americas Stage 2,Group Stage,Week 5,2Game Esports vs Sentinels,Sunset,7,2,4,0,6,1,1,1,15072
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Natus Vincere vs FNATIC,Ascent,9,0,1,0,10,1,0,2,2593
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Rex Regum Qeon vs Team Secret,Sunset,10,1,2,0,3,0,0,0,878
VCT 2025: China Stage 2,Playoffs,Lower Round 1,All Gamers vs FunPlus Phoenix,Haven,4,8,1,0,1,1,1,0,11328
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Heretics vs GIANTX,Haven,11,0,2,0,1,0,2,0,1001
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,Icebox,9,0,3,0,9,1,4,0,397
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Team Secret vs ZETA DIVISION,Lotus,7,0,5,1,7,0,4,0,5448
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Pearl,6,3,2,1,7,0,6,1,624
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Icebox,2,1,0,0,8,0,5,0,878
VCT 2025: China Stage 1,Group Stage,Week 1,Dragon Ranger Gaming vs Nova Esports,Lotus,11,0,2,0,8,0,2,0,11981
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Bind,6,2,2,0,9,2,1,1,17
VCT 2025: EMEA Stage 2,Group Stage,Week 4,FUT Esports vs Team Heretics,Haven,5,0,1,0,9,2,2,0,1184
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,GIANTX vs Natus Vincere,Ascent,8,1,3,1,4,1,1,0,14419
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Haven,9,1,2,1,4,1,2,0,624
VCT 2025: China Stage 2,Group Stage,Week 4,Nova Esports vs Wolves Esports,Bind,11,1,1,0,6,2,0,2,12064
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,G2 Esports vs Paper Rex,Lotus,11,0,1,1,6,1,2,2,624
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs Paper Rex,Pearl,8,2,3,0,10,1,4,0,278
VCT 2025: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs All Gamers,Fracture,7,2,4,0,9,0,0,1,13581
VCT 2025: China Stage 1,Group Stage,Week 4,Trace Esports vs Xi Lai Gaming,Split,10,1,2,0,3,1,2,1,13581
VCT 2025: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Pearl,8,1,4,0,3,3,0,0,2
VCT 2025: Americas Stage 1,Group Stage,Week 4,NRG vs MIBR,Icebox,3,1,9,0,3,1,1,0,7386
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),T1 vs Trace Esports,Lotus,11,0,2,0,3,0,0,0,14
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Corrode,10,2,1,0,3,0,0,0,2593
VCT 2025: EMEA Stage 2,Group Stage,Week 3,FUT Esports vs GIANTX,Haven,8,0,5,0,6,0,0,0,1184
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Nongshim RedForce vs Team Secret,Lotus,0,3,0,0,10,0,2,1,6199
VCT 2025: Pacific Stage 1,Group Stage,Week 1,DetonatioN FocusMe vs Global Esports,Pearl,7,1,2,3,3,3,3,2,918
VCT 2025: China Stage 1,Group Stage,Week 1,JDG Esports vs Wolves Esports,Pearl,8,1,3,1,6,0,2,1,13790
VCT 2025: China Stage 1,Playoffs,Lower Round 2,Bilibili Gaming vs Trace Esports,Fracture,1,6,1,0,10,0,3,0,12685
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,Split,8,1,3,1,7,2,1,1,2059
VCT 2025: Americas Stage 2,Group Stage,Week 4,LOUD vs 100 Thieves,Lotus,6,1,4,1,11,1,2,0,6961
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Gentle Mates vs Team Heretics,Bind,9,0,4,0,4,0,1,0,1001
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs TALON,Bind,8,3,2,0,5,2,1,0,8304
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Rex Regum Qeon vs Team Secret,Icebox,2,0,2,0,5,1,6,1,6199
VCT 2025: China Stage 2,Playoffs,Grand Final,Dragon Ranger Gaming vs Bilibili Gaming,Corrode,11,0,1,1,8,1,1,0,12010
VCT 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,Pearl,10,0,1,2,8,0,2,1,397
VCT 2025: EMEA Stage 1,Group Stage,Week 1,FUT Esports vs KOI,Lotus,8,1,3,0,10,0,4,0,7035
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Apeks vs FNATIC,Split,11,2,3,0,7,4,3,0,2593
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 3,Team Liquid vs BBL Esports,Split,5,0,2,0,12,0,0,1,474
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Paper Rex vs BOOM Esports,Fracture,7,0,2,0,7,2,4,0,624
VCT 2025: China Stage 1,Group Stage,Week 5,Dragon Ranger Gaming vs TYLOO,Fracture,9,0,4,0,4,1,0,0,731
VCT 2025: Americas Stage 1,Group Stage,Week 3,2Game Esports vs KRÜ Esports,Icebox,3,1,2,0,9,0,4,0,15072
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Fracture,4,1,2,1,8,0,5,0,397
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Sunset,6,1,0,0,11,1,1,0,5248
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Ascent,4,1,1,0,7,3,3,0,2
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Sentinels vs NRG,Corrode,5,3,0,0,6,5,1,1,2
VCT 2025: Pacific Stage 2,Group Stage,Week 2,TALON vs DetonatioN FocusMe,Icebox,4,3,1,0,10,0,2,1,8304
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs MIBR,Icebox,4,1,1,0,8,1,4,0,7386
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DRX vs BOOM Esports,Icebox,7,3,2,1,4,2,1,1,466
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Ascent,5,0,1,0,8,2,3,0,624
VCT 2025: Americas Stage 1,Group Stage,Week 3,Cloud9 vs MIBR,Lotus,8,1,4,0,9,1,5,0,188
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Abyss,5,1,2,0,5,3,2,3,2593
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs 2Game Esports,Split,2,0,0,0,9,2,2,0,15072
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,Sunset,8,1,4,0,8,0,1,1,2359
VCT 2025: EMEA Stage 2,Group Stage,Week 5,GIANTX vs Team Heretics,Ascent,4,2,1,0,7,1,3,2,14419
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Rex Regum Qeon vs Gen.G,Ascent,4,1,0,1,9,1,1,2,878
VCT 2025: Pacific Stage 1,Group Stage,Week 3,TALON vs Nongshim RedForce,Lotus,4,2,2,0,8,1,4,0,11060
VCT 2025: China Stage 1,Group Stage,Week 5,Titan Esports Club vs Nova Esports,Fracture,10,0,2,0,8,0,1,0,14137
VCT 2025: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Pearl,3,3,0,0,8,1,4,0,5248
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,BBL Esports vs Team Heretics,Pearl,6,2,3,0,9,0,3,1,397
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Global Esports vs DetonatioN FocusMe,Split,11,1,1,1,9,2,1,0,278
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LOUD vs KRÜ Esports,Haven,6,1,6,0,7,0,3,1,2355
VCT 2025: China Kickoff,Main Event,Upper Round 1,Xi Lai Gaming vs Wolves Esports,Split,11,0,2,0,5,1,1,2,13581
VCT 2025: China Kickoff,Main Event,Lower Round 1,Xi Lai Gaming vs All Gamers,Abyss,4,1,3,0,5,1,6,1,13581
VCT 2025: Americas Stage 2,Group Stage,Week 4,LEVIATÁN vs KRÜ Esports,Ascent,7,0,6,0,1,3,0,0,2359
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Liquid vs Apeks,Ascent,7,4,3,0,9,3,0,0,474
VCT 2025: EMEA Stage 2,Group Stage,Week 3,KOI vs Karmine Corp,Haven,1,3,0,0,10,1,2,0,7035
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Team Liquid vs Karmine Corp,Sunset,8,0,4,0,8,1,4,1,474
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs T1,Corrode,8,1,1,0,8,3,1,1,466
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Gen.G vs Team Secret,Ascent,12,0,1,0,5,1,2,0,17
VCT 2025: Pacific Stage 2,Group Stage,Week 4,BOOM Esports vs ZETA DIVISION,Corrode,6,3,0,0,8,1,3,1,466
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,Rex Regum Qeon vs T1,Sunset,6,0,2,0,11,1,1,0,878
VCT 2025: China Stage 2,Group Stage,Week 3,Bilibili Gaming vs Trace Esports,Icebox,11,1,2,1,10,1,2,0,12685
VCT 2025: China Stage 2,Playoffs,Upper Semifinals,Bilibili Gaming vs TYLOO,Bind,4,2,1,0,11,1,1,0,731
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Bilibili Gaming vs Sentinels,Sunset,4,1,0,0,8,1,4,0,12010
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Gentle Mates,Split,10,1,2,0,4,1,1,0,474
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,BOOM Esports vs Gen.G,Split,9,2,2,0,5,3,0,0,17
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Gen.G vs Rex Regum Qeon,Haven,3,2,3,0,7,2,3,1,878
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,EDward Gaming vs Xi Lai Gaming,Lotus,5,2,6,0,4,2,2,1,13581
VCT 2025: China Stage 1,Playoffs,Lower Round 2,EDward Gaming vs Dragon Ranger Gaming,Ascent,12,1,0,0,5,0,3,0,1120
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,MIBR vs 100 Thieves,Icebox,3,1,0,0,8,0,5,0,120
VCT 2025: Americas Stage 1,Playoffs,Upper Final,MIBR vs Sentinels,Split,8,2,1,2,6,0,3,2,2
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Team Vitality vs G2 Esports,Bind,9,2,4,0,8,1,4,0,11058
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,Haven,5,1,0,0,11,0,2,0,11479
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Lotus,10,2,1,0,6,0,0,0,2059
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,Split,11,0,2,0,9,0,2,0,14
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Haven,8,0,5,0,3,2,0,0,17
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,Corrode,2,0,0,0,6,0,5,2,188
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,Lotus,6,2,4,1,4,2,4,0,
VCT 2025: China Stage 2,Group Stage,Week 1,All Gamers vs Xi Lai Gaming,Ascent,3,0,0,0,9,0,1,3,1119
VCT 2025: China Stage 2,Group Stage,Week 3,Bilibili Gaming vs Trace Esports,Icebox,10,1,2,0,11,1,2,1,12010
VCT 2025: China Stage 2,Playoffs,Upper Quarterfinals,All Gamers vs TYLOO,Icebox,3,3,4,1,7,4,1,1,1119
VCT 2025: China Stage 2,Playoffs,Upper Quarterfinals,All Gamers vs TYLOO,Icebox,7,4,1,1,3,3,4,1,731
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,6,0,2,3,6,0,2,5,17
Valorant Masters Toronto 2025,Playoffs,Lower Round 3,G2 Esports vs FNATIC,Lotus,9,1,3,0,7,0,1,2,2593
VCT 2025: China Stage 1,Group Stage,Week 3,Wolves Esports vs Xi Lai Gaming,Icebox,8,2,2,1,5,2,3,0,13581
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,8,3,2,0,4,0,1,1,2
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Haven,9,3,1,0,4,6,1,0,2593
VCT 2025: Americas Stage 2,Group Stage,Week 3,LEVIATÁN vs NRG,Lotus,4,1,1,1,7,2,4,0,2359
VCT 2025: Americas Stage 2,Group Stage,Week 3,MIBR vs 100 Thieves,Icebox,6,4,3,0,5,3,1,1,7386
VCT 2025: Americas Stage 2,Group Stage,Week 5,FURIA vs Evil Geniuses,Corrode,5,1,0,0,8,2,3,0,2406
VCT 2025: Americas Stage 2,Group Stage,Week 5,G2 Esports vs Cloud9,Lotus,7,1,4,1,4,0,5,0,11058
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Lotus,9,1,3,0,6,1,0,1,474
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,FNATIC vs Karmine Corp,Corrode,7,0,3,2,12,1,1,0,8877
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Gen.G vs Team Secret,Lotus,11,2,0,0,1,1,1,0,17
VCT 2025: China Stage 2,Group Stage,Week 4,Nova Esports vs Wolves Esports,Haven,13,0,1,0,11,1,4,0,12064
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Icebox,8,2,3,0,7,1,0,0,13790
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DetonatioN FocusMe vs BOOM Esports,Fracture,8,2,3,0,5,0,3,0,466
VCT 2025: China Stage 1,Group Stage,Week 1,JDG Esports vs Wolves Esports,Haven,6,3,2,0,9,2,2,0,13576
VCT 2025: China Stage 1,Group Stage,Week 5,EDward Gaming vs FunPlus Phoenix,Split,4,0,3,2,9,1,3,0,11328
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Titan Esports Club vs Dragon Ranger Gaming,Fracture,7,2,3,0,10,1,3,0,14137
VCT 2025: China Stage 1,Playoffs,Upper Final,Wolves Esports vs Xi Lai Gaming,Pearl,3,0,3,1,7,2,4,0,13790
VCT 2025: Americas Stage 1,Group Stage,Week 1,Sentinels vs 100 Thieves,Pearl,3,0,1,1,10,1,2,0,120
VCT 2025: Americas Stage 1,Group Stage,Week 5,MIBR vs FURIA,Icebox,4,1,8,0,2,1,0,0,7386
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,Pearl,3,0,0,0,10,3,0,0,278
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,Lotus,12,2,6,0,17,1,3,1,878
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,7,0,3,1,9,0,3,1,397
VCT 2025: EMEA Stage 2,Group Stage,Week 4,KOI vs Apeks,Lotus,6,1,2,0,7,2,3,1,7035
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Gen.G,Corrode,4,0,2,0,6,2,2,3,8185
VCT 2025: China Stage 2,Group Stage,Week 1,Bilibili Gaming vs TYLOO,Lotus,7,0,2,0,9,1,1,2,731
VCT 2025: China Stage 2,Group Stage,Week 3,FunPlus Phoenix vs Dragon Ranger Gaming,Sunset,9,0,4,0,6,0,3,2,11328
VCT 2025: China Stage 2,Group Stage,Week 3,Nova Esports vs All Gamers,Lotus,5,1,0,0,8,0,5,0,12064
VCT 2025: China Stage 2,Playoffs,Lower Round 1,EDward Gaming vs Trace Esports,Lotus,9,2,2,0,7,0,0,0,12685
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Lotus,10,0,3,0,3,1,0,1,2593
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs ZETA DIVISION,Split,9,2,1,1,3,0,3,1,11060
VCT 2025: China Stage 1,Group Stage,Week 1,Xi Lai Gaming vs Bilibili Gaming,Fracture,8,2,3,0,5,1,1,1,12010
VCT 2025: China Stage 1,Group Stage,Week 3,Wolves Esports vs Xi Lai Gaming,Icebox,5,2,3,0,8,2,2,1,13790
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,Bind,7,2,3,1,5,2,2,1,8185
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Natus Vincere vs Karmine Corp,Corrode,4,0,4,0,9,1,3,0,8877
VCT 2025: China Stage 2,Group Stage,Week 2,All Gamers vs Wolves Esports,Bind,9,1,3,0,2,0,0,0,1119
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Paper Rex vs Gen.G,Icebox,2,1,0,0,10,0,3,0,624
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Lotus,3,2,0,0,6,2,5,0,8877
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,FUT Esports vs Team Vitality,Split,5,0,1,0,6,2,5,0,2059
VCT 2025: Pacific Stage 1,Group Stage,Week 1,T1 vs ZETA DIVISION,Split,9,0,0,3,10,0,4,0,14
VCT 2025: China Stage 1,Group Stage,Week 1,Trace Esports vs All Gamers,Lotus,10,1,2,0,8,1,1,1,1119
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Titan Esports Club vs Wolves Esports,Haven,9,0,3,1,9,0,1,1,13790
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Lotus,7,0,1,0,10,1,2,0,17
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Rex Regum Qeon vs Gen.G,Haven,8,2,0,1,5,2,6,0,17
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Gen.G vs Global Esports,Icebox,11,1,1,0,2,1,0,0,918
VCT 2025: China Stage 2,Group Stage,Week 1,JDG Esports vs Trace Esports,Haven,7,1,3,2,4,0,0,0,12685
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Team Heretics vs Team Liquid,Icebox,10,1,2,0,0,0,2,0,1001
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Rex Regum Qeon vs DRX,Fracture,8,1,4,0,5,1,4,1,8185
VCT 2025: Americas Stage 1,Group Stage,Week 5,Sentinels vs 2Game Esports,Pearl,3,1,1,0,5,2,6,0,15072
VCT 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,Split,5,5,2,1,7,0,3,0,11058
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,Abyss,11,2,0,0,4,0,1,0,
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,Lotus,5,1,6,1,2,0,0,0,2359
VCT 2025: Americas Stage 2,Showmatch,Override,Team Alpha vs Team Omega,Corrode,10,2,1,0,3,0,1,0,19707
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Rex Regum Qeon vs Gen.G,Ascent,9,1,1,2,4,1,0,1,17
VCT 2025: China Stage 2,Group Stage,Week 3,TYLOO vs EDward Gaming,Corrode,11,1,1,0,4,1,3,2,1120
Valorant Masters Toronto 2025,Playoffs,Lower Round 3,G2 Esports vs FNATIC,Split,8,1,3,1,5,0,2,3,2593
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Split,3,0,0,0,7,0,5,1,6199
VCT 2025: China Stage 1,Group Stage,Week 2,TYLOO vs FunPlus Phoenix,Pearl,12,0,1,0,7,0,1,0,11328
VCT 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,Haven,10,1,2,0,5,3,2,0,7386
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,EDward Gaming vs Team Liquid,Split,13,1,4,0,14,0,2,0,1120
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LEVIATÁN vs MIBR,Pearl,6,1,2,0,7,2,3,1,2359
VCT 2025: Americas Kickoff,Main Event,Grand Final,G2 Esports vs Sentinels,Haven,5,0,5,0,7,0,6,0,2
VCT 2025: China Kickoff,Main Event,Lower Round 1,Nova Esports vs Wolves Esports,Fracture,7,0,4,0,10,2,1,0,13790
VCT 2025: China Kickoff,Main Event,Lower Round 3,EDward Gaming vs Xi Lai Gaming,Haven,10,3,0,0,0,0,0,0,1120
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Bind,3,1,1,2,7,1,3,2,11058
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,G2 Esports vs 100 Thieves,Haven,8,3,2,0,2,1,2,0,11058
VCT 2025: EMEA Stage 2,Group Stage,Week 3,KOI vs Karmine Corp,Sunset,9,0,4,0,2,0,0,0,8877
VCT 2025: China Stage 2,Group Stage,Week 4,TYLOO vs JDG Esports,Corrode,8,0,5,0,5,1,0,0,731
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Paper Rex vs Team Liquid,Sunset,3,0,2,0,11,1,1,0,474
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Apeks vs Natus Vincere,Haven,8,2,2,1,8,1,2,0,4915
VCT 2025: Pacific Stage 1,Group Stage,Week 5,T1 vs TALON,Haven,4,1,2,0,9,1,3,0,14
VCT 2025: China Stage 1,Group Stage,Week 4,EDward Gaming vs Titan Esports Club,Icebox,7,1,1,0,11,0,1,1,14137
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,Bilibili Gaming vs Wolves Esports,Split,9,0,3,1,7,0,0,1,13790
VCT 2025: China Stage 1,Playoffs,Upper Final,Wolves Esports vs Xi Lai Gaming,Pearl,7,2,4,0,3,0,3,1,13581
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Team Vitality vs G2 Esports,Bind,8,1,4,0,9,2,4,0,2059
VCT 2025: EMEA Kickoff,Main Event,Upper Final,Team Vitality vs Team Heretics,Haven,10,1,2,0,6,1,2,1,2059
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Global Esports vs DetonatioN FocusMe,Split,9,2,1,0,11,1,1,1,918
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,11,1,1,0,6,2,1,0,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FNATIC vs Karmine Corp,Icebox,7,1,2,1,6,3,4,0,8877
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,GIANTX vs Natus Vincere,Haven,9,2,2,0,3,2,3,0,14419
VCT 2025: Pacific Stage 2,Group Stage,Week 4,T1 vs DetonatioN FocusMe,Sunset,5,0,1,0,10,1,2,0,278
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,TALON vs Nongshim RedForce,Corrode,7,2,7,0,11,0,3,0,8304
VCT 2025: China Stage 2,Playoffs,Lower Final,Bilibili Gaming vs EDward Gaming,Lotus,5,1,4,0,9,1,3,0,1120
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Gen.G vs G2 Esports,Haven,6,3,2,2,5,3,2,1,17
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Gentle Mates vs BBL Esports,Lotus,9,3,1,1,10,1,1,0,397
VCT 2025: China Stage 1,Playoffs,Upper Final,Wolves Esports vs Xi Lai Gaming,Lotus,9,0,2,1,8,2,4,0,13790
VCT 2025: Americas Stage 1,Group Stage,Week 4,G2 Esports vs LEVIATÁN,Haven,4,0,3,0,10,0,3,0,2359
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Abyss,13,2,2,0,7,3,3,2,2059
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,Gen.G vs DetonatioN FocusMe,Lotus,5,1,0,0,9,2,2,0,278
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Sunset,9,0,3,1,2,0,1,0,1120
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Vitality vs BBL Esports,Lotus,3,3,4,1,4,3,6,0,397
VCT 2025: China Stage 2,Group Stage,Week 4,Trace Esports vs Titan Esports Club,Sunset,5,1,2,1,11,0,2,0,12685
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Natus Vincere vs GIANTX,Pearl,5,0,1,1,11,2,0,0,14419
VCT 2025: China Stage 1,Group Stage,Week 3,Dragon Ranger Gaming vs EDward Gaming,Pearl,10,0,3,0,7,0,3,0,1120
VCT 2025: Americas Stage 1,Group Stage,Week 4,G2 Esports vs LEVIATÁN,Fracture,7,2,4,0,7,1,3,0,2359
VCT 2025: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs 100 Thieves,Fracture,8,1,0,1,7,2,4,0,120
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Pearl,4,2,1,0,8,1,4,0,11479
VCT 2025: Americas Kickoff,Main Event,Upper Final,Sentinels vs G2 Esports,Pearl,4,1,2,0,10,0,3,0,2
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,Corrode,7,2,4,0,7,1,0,0,11058
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,Ascent,13,0,0,0,12,1,1,1,624
VCT 2025: EMEA Stage 2,Group Stage,Week 5,FUT Esports vs BBL Esports,Sunset,10,0,1,0,13,0,0,0,1184
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Nongshim RedForce,Lotus,6,2,5,0,5,2,3,1,8185
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Nongshim RedForce,Lotus,5,2,3,1,6,2,5,0,11060
VCT 2025: China Stage 2,Playoffs,Lower Round 1,All Gamers vs FunPlus Phoenix,Haven,1,1,1,0,4,8,1,0,1119
