tournament,stage,match_type,match_name,action,map,team_id
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,ban,Bind,397
VCT 2025: Pacific Stage 2,Group Stage,Week 4,BOOM Esports vs ZETA DIVISION,pick,Lotus,466
VCT 2025: China Stage 2,Playoffs,Upper Quarterfinals,All Gamers vs TYLOO,ban,Ascent,1119
VCT 2025: China Stage 2,Playoffs,Lower Round 2,Xi Lai Gaming vs All Gamers,ban,Bind,1119
VCT 2025: China Stage 1,Group Stage,Week 2,TYLOO vs FunPlus Phoenix,ban,Fracture,11328
VCT 2025: Americas Stage 1,Group Stage,Week 3,2Game Esports vs KRÜ Esports,ban,Fracture,15072
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FUT Esports vs Team Liquid,ban,Bind,1184
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,EDward Gaming vs Nova Esports,ban,Lotus,1120
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,pick,Lotus,
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Natus Vincere vs Karmine Corp,ban,Lotus,4915
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,Team Heretics vs Natus Vincere,pick,Icebox,4915
VCT 2025: EMEA Stage 2,Playoffs,Lower Final,BBL Esports vs GIANTX,pick,Sunset,14419
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Rex Regum Qeon vs Gen.G,ban,Icebox,878
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Gen.G vs Team Secret,ban,Icebox,6199
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Gen.G vs Nongshim RedForce,ban,Haven,11060
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,T1 vs Rex Regum Qeon,pick,Ascent,14
VCT 2025: China Stage 2,Playoffs,Upper Quarterfinals,All Gamers vs TYLOO,ban,Corrode,1119
VCT 2025: EMEA Stage 1,Group Stage,Week 5,GIANTX vs Apeks,ban,Fracture,11479
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DRX vs Gen.G,pick,Split,8185
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,TALON vs Nongshim RedForce,ban,Fracture,11060
VCT 2025: China Stage 1,Group Stage,Week 1,Xi Lai Gaming vs Bilibili Gaming,ban,Split,12010
VCT 2025: China Stage 1,Group Stage,Week 5,EDward Gaming vs FunPlus Phoenix,pick,Split,1120
VCT 2025: Americas Stage 1,Group Stage,Week 1,MIBR vs LEVIATÁN,pick,Icebox,7386
VCT 2025: Americas Stage 1,Group Stage,Week 4,G2 Esports vs LEVIATÁN,ban,Split,2359
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,T1 vs DRX,pick,Fracture,8185
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Trace Esports vs Dragon Ranger Gaming,ban,Fracture,11981
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs TALON,pick,Bind,8304
VCT 2025: China Stage 2,Playoffs,Grand Final,Dragon Ranger Gaming vs Bilibili Gaming,ban,Icebox,11981
VCT 2025: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,ban,Ascent,2
VCT 2025: Americas Stage 1,Group Stage,Week 3,100 Thieves vs LOUD,pick,Icebox,6961
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,DRX vs Sentinels,ban,Pearl,8185
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,G2 Esports vs Cloud9,pick,Abyss,11058
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,EDward Gaming vs Nova Esports,ban,Haven,12064
VCT 2025: Americas Stage 2,Group Stage,Week 3,2Game Esports vs FURIA,ban,Bind,15072
VCT 2025: EMEA Stage 2,Playoffs,Lower Final,BBL Esports vs GIANTX,pick,Bind,397
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs T1,ban,Lotus,466
VCT 2025: China Stage 2,Group Stage,Week 2,TYLOO vs Titan Esports Club,ban,Corrode,14137
VCT 2025: Pacific Stage 1,Group Stage,Week 1,TALON vs Team Secret,ban,Lotus,8304
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,TALON vs Gen.G,ban,Split,8304
VCT 2025: China Stage 1,Group Stage,Week 3,Dragon Ranger Gaming vs EDward Gaming,ban,Lotus,1120
VCT 2025: China Stage 1,Group Stage,Week 4,Bilibili Gaming vs Wolves Esports,ban,Fracture,13790
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Titan Esports Club vs Dragon Ranger Gaming,ban,Haven,14137
VCT 2025: Americas Stage 1,Group Stage,Week 4,FURIA vs Cloud9,ban,Icebox,2406
VCT 2025: Americas Stage 1,Group Stage,Week 5,MIBR vs FURIA,ban,Lotus,7386
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs Evil Geniuses,ban,Haven,5248
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,ban,Fracture,2059
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,ZETA DIVISION vs Nongshim RedForce,ban,Fracture,5448
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,DRX vs Nongshim RedForce,ban,Haven,8185
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs 2Game Esports,ban,Lotus,15072
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,ban,Sunset,11058
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,G2 Esports vs 100 Thieves,ban,Bind,11058
VCT 2025: EMEA Stage 2,Group Stage,Week 3,KOI vs Karmine Corp,ban,Corrode,8877
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Nongshim RedForce,ban,Corrode,11060
VCT 2025: China Stage 2,Group Stage,Week 2,Trace Esports vs TYLOO,ban,Lotus,12685
VCT 2025: China Stage 2,Group Stage,Week 2,Trace Esports vs EDward Gaming,pick,Bind,12685
Valorant Masters Toronto 2025,Playoffs,Upper Final,Paper Rex vs Wolves Esports,ban,Haven,624
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,pick,Ascent,397
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,ban,Icebox,17
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,TALON vs Nongshim RedForce,pick,Pearl,11060
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,T1 vs Paper Rex,pick,Fracture,624
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,ban,Haven,624
VCT 2025: Americas Stage 1,Group Stage,Week 3,FURIA vs LEVIATÁN,pick,Ascent,2406
VCT 2025: Americas Stage 1,Group Stage,Week 4,Sentinels vs LOUD,ban,Icebox,2
VCT 2025: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,pick,Icebox,188
VCT 2025: EMEA Kickoff,Main Event,Upper Final,Team Vitality vs Team Heretics,ban,Pearl,2059
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,LOUD vs Sentinels,ban,Haven,2
VCT 2025: China Kickoff,Main Event,Lower Round 1,Titan Esports Club vs JDG Esports,ban,Bind,13576
VCT 2025: Americas Stage 1,Group Stage,Week 4,NRG vs MIBR,pick,Haven,
VCT 2025: Americas Stage 2,Group Stage,Week 3,LEVIATÁN vs NRG,pick,Haven,2359
VCT 2025: Americas Stage 2,Group Stage,Week 4,Sentinels vs Evil Geniuses,ban,Icebox,2
VCT 2025: Americas Stage 2,Group Stage,Week 5,G2 Esports vs Cloud9,ban,Sunset,188
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Team Liquid vs Natus Vincere,ban,Lotus,4915
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Natus Vincere vs Karmine Corp,pick,Sunset,8877
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Global Esports vs Team Secret,ban,Haven,6199
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Rex Regum Qeon vs Nongshim RedForce,ban,Bind,11060
VCT 2025: Pacific Stage 2,Group Stage,Week 3,BOOM Esports vs DetonatioN FocusMe,ban,Sunset,466
VCT 2025: China Stage 2,Group Stage,Week 4,Nova Esports vs Xi Lai Gaming,ban,Corrode,13581
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,pick,Icebox,878
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Apeks vs Natus Vincere,ban,Fracture,11479
VCT 2025: Pacific Stage 1,Group Stage,Week 1,T1 vs ZETA DIVISION,pick,Split,14
VCT 2025: Pacific Stage 1,Group Stage,Week 1,T1 vs ZETA DIVISION,ban,Lotus,14
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,pick,Lotus,17
VCT 2025: China Stage 1,Playoffs,Upper Final,Wolves Esports vs Xi Lai Gaming,ban,Split,13581
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,ban,Abyss,14419
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,FNATIC vs Natus Vincere,pick,Pearl,4915
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,FUT Esports vs FNATIC,pick,Fracture,2593
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,BBL Esports vs Team Liquid,ban,Haven,397
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Nongshim RedForce vs BOOM Esports,ban,Split,466
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,ban,Haven,474
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,ban,Ascent,624
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,ban,Icebox,2355
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Sentinels vs NRG,pick,Sunset,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FNATIC vs Karmine Corp,ban,Ascent,8877
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Liquid vs FNATIC,ban,Sunset,2593
VCT 2025: Pacific Stage 2,Group Stage,Week 4,BOOM Esports vs ZETA DIVISION,ban,Icebox,466
VCT 2025: China Stage 2,Group Stage,Week 1,JDG Esports vs Trace Esports,pick,Lotus,12685
VCT 2025: China Stage 2,Group Stage,Week 2,All Gamers vs Wolves Esports,ban,Icebox,1119
VCT 2025: China Stage 2,Group Stage,Week 3,Bilibili Gaming vs Trace Esports,pick,Icebox,12010
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,ban,Pearl,474
VCT 2025: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,ban,Icebox,14419
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Liquid vs FNATIC,ban,Pearl,474
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,Team Liquid vs Natus Vincere,pick,Icebox,4915
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,EDward Gaming vs Xi Lai Gaming,pick,Lotus,13581
VCT 2025: Americas Stage 1,Group Stage,Week 3,FURIA vs LEVIATÁN,ban,Icebox,2406
VCT 2025: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs Evil Geniuses,ban,Icebox,5248
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,G2 Esports vs 100 Thieves,ban,Icebox,11058
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,Gen.G vs DRX,pick,Abyss,8185
VCT 2025: China Kickoff,Main Event,Upper Final,Bilibili Gaming vs Trace Esports,ban,Split,12010
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,pick,Ascent,8185
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,ban,Haven,2355
VCT 2025: Americas Stage 2,Group Stage,Week 3,2Game Esports vs FURIA,ban,Haven,2406
VCT 2025: Americas Stage 2,Group Stage,Week 3,LEVIATÁN vs NRG,ban,Corrode,2359
VCT 2025: Americas Stage 2,Group Stage,Week 3,LOUD vs KRÜ Esports,ban,Corrode,2355
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,G2 Esports vs 100 Thieves,pick,Haven,11058
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Sentinels vs Cloud9,ban,Haven,188
VCT 2025: EMEA Stage 2,Group Stage,Week 2,FUT Esports vs Team Vitality,pick,Haven,1184
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,FNATIC vs BBL Esports,ban,Icebox,2593
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Rex Regum Qeon vs Gen.G,ban,Bind,17
VCT 2025: China Stage 2,Group Stage,Week 2,Trace Esports vs TYLOO,pick,Bind,12685
VCT 2025: China Stage 2,Group Stage,Week 2,All Gamers vs Wolves Esports,pick,Corrode,1119
VCT 2025: EMEA Stage 1,Group Stage,Week 5,BBL Esports vs FUT Esports,ban,Split,1184
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,pick,Icebox,1001
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,ban,Pearl,1001
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,ban,Icebox,11060
VCT 2025: China Stage 1,Group Stage,Week 3,All Gamers vs Bilibili Gaming,pick,Fracture,1119
VCT 2025: China Stage 1,Playoffs,Lower Round 3,EDward Gaming vs Bilibili Gaming,ban,Ascent,1120
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,ban,Split,7035
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,ban,Split,1184
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs 2Game Esports,ban,Haven,2355
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,pick,Sunset,14
VCT 2025: Americas Stage 2,Group Stage,Week 2,MIBR vs LEVIATÁN,pick,Sunset,2359
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,pick,Sunset,2059
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Gentle Mates vs GIANTX,ban,Bind,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Gentle Mates vs GIANTX,ban,Icebox,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Apeks vs FNATIC,ban,Corrode,11479
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 3,GIANTX vs Natus Vincere,ban,Bind,14419
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Nongshim RedForce vs DetonatioN FocusMe,pick,Ascent,11060
VCT 2025: China Stage 1,Group Stage,Week 4,EDward Gaming vs Titan Esports Club,ban,Fracture,1120
VCT 2025: China Stage 1,Group Stage,Week 5,Wolves Esports vs All Gamers,ban,Split,13790
VCT 2025: Americas Stage 1,Group Stage,Week 1,KRÜ Esports vs LOUD,ban,Ascent,2355
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FUT Esports vs Team Liquid,ban,Haven,474
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,ban,Haven,624
VCT 2025: China Kickoff,Main Event,Upper Semifinals,Trace Esports vs EDward Gaming,ban,Haven,12685
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,G2 Esports vs 100 Thieves,ban,Icebox,11058
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Liquid vs Apeks,ban,Icebox,11479
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Gen.G vs Global Esports,pick,Haven,17
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Gen.G vs Nongshim RedForce,pick,Ascent,11060
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,T1 vs Rex Regum Qeon,pick,Sunset,878
VCT 2025: China Stage 2,Group Stage,Week 1,JDG Esports vs Trace Esports,pick,Icebox,13576
VCT 2025: China Stage 2,Playoffs,Upper Semifinals,Xi Lai Gaming vs Dragon Ranger Gaming,pick,Lotus,11981
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Gen.G vs MIBR,pick,Haven,17
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Paper Rex vs Gen.G,ban,Sunset,17
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,pick,Pearl,11060
VCT 2025: Pacific Stage 1,Group Stage,Week 5,T1 vs TALON,ban,Ascent,14
VCT 2025: Americas Stage 1,Group Stage,Week 5,Sentinels vs 2Game Esports,ban,Lotus,15072
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,BBL Esports vs Team Liquid,pick,Pearl,397
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,100 Thieves vs NRG,ban,Abyss,120
VCT 2025: China Kickoff,Main Event,Upper Round 1,JDG Esports vs Dragon Ranger Gaming,ban,Lotus,13576
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,pick,Haven,8185
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Gentle Mates vs Team Vitality,pick,Corrode,12694
VCT 2025: China Stage 2,Group Stage,Week 2,JDG Esports vs Bilibili Gaming,ban,Bind,13576
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs MIBR,ban,Lotus,7386
VCT 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,ban,Split,397
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Team Liquid vs FUT Esports,ban,Icebox,474
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Team Vitality vs Natus Vincere,ban,Lotus,4915
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,ban,Fracture,4915
VCT 2025: Pacific Kickoff,Main Event,Lower Round 4,TALON vs Gen.G,pick,Lotus,17
VCT 2025: Americas Stage 2,Group Stage,Week 2,NRG vs LOUD,ban,Ascent,
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Vitality vs Team Heretics,ban,Sunset,2059
VCT 2025: EMEA Stage 2,Group Stage,Week 4,FUT Esports vs Team Heretics,pick,Bind,1184
VCT 2025: EMEA Stage 2,Group Stage,Week 5,GIANTX vs Team Heretics,pick,Abyss,14419
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,Team Heretics vs Natus Vincere,ban,Ascent,4915
VCT 2025: Pacific Stage 2,Group Stage,Week 1,TALON vs ZETA DIVISION,ban,Ascent,8304
VCT 2025: Pacific Stage 2,Group Stage,Week 2,T1 vs ZETA DIVISION,ban,Ascent,5448
VCT 2025: China Stage 2,Group Stage,Week 3,Nova Esports vs All Gamers,pick,Haven,12064
VCT 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,pick,Icebox,8877
VCT 2025: EMEA Stage 1,Group Stage,Week 1,FUT Esports vs KOI,ban,Ascent,1184
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Paper Rex vs BOOM Esports,pick,Ascent,466
VCT 2025: Americas Stage 1,Group Stage,Week 3,100 Thieves vs LOUD,ban,Lotus,120
VCT 2025: Americas Stage 1,Group Stage,Week 3,Cloud9 vs MIBR,ban,Fracture,7386
VCT 2025: Americas Stage 1,Group Stage,Week 5,LEVIATÁN vs NRG,pick,Icebox,2359
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,ban,Pearl,2059
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,ban,Pearl,14
VCT 2025: Americas Kickoff,Main Event,Grand Final,G2 Esports vs Sentinels,pick,Fracture,2
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,pick,Abyss,8185
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,ban,Abyss,624
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,ban,Icebox,15072
VCT 2025: EMEA Stage 2,Group Stage,Week 5,KOI vs Natus Vincere,pick,Icebox,7035
VCT 2025: Pacific Stage 2,Group Stage,Week 2,T1 vs ZETA DIVISION,ban,Lotus,14
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Rex Regum Qeon vs DRX,ban,Corrode,878
VCT 2025: China Stage 2,Group Stage,Week 1,Wolves Esports vs FunPlus Phoenix,ban,Haven,13790
VCT 2025: China Stage 2,Group Stage,Week 2,Trace Esports vs TYLOO,pick,Corrode,731
VCT 2025: China Stage 2,Group Stage,Week 3,Nova Esports vs All Gamers,ban,Sunset,12064
VCT 2025: China Stage 2,Playoffs,Lower Final,Bilibili Gaming vs EDward Gaming,pick,Bind,12010
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Apeks vs Natus Vincere,ban,Icebox,11479
VCT 2025: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Gentle Mates,pick,Fracture,1184
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Gentle Mates vs BBL Esports,pick,Lotus,397
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,Team Liquid vs Natus Vincere,ban,Pearl,474
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Gen.G vs BOOM Esports,pick,Ascent,466
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DetonatioN FocusMe vs BOOM Esports,pick,Ascent,278
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,ban,Pearl,878
VCT 2025: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Evil Geniuses,pick,Fracture,5248
VCT 2025: Americas Stage 1,Group Stage,Week 3,FURIA vs LEVIATÁN,ban,Lotus,2359
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,EDward Gaming vs Team Liquid,pick,Split,474
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,pick,Abyss,12694
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,Gen.G vs DetonatioN FocusMe,ban,Fracture,17
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,EDward Gaming vs Nova Esports,ban,Abyss,1120
VCT 2025: Americas Stage 2,Group Stage,Week 4,FURIA vs G2 Esports,ban,Icebox,11058
VCT 2025: Pacific Stage 2,Group Stage,Week 2,TALON vs DetonatioN FocusMe,ban,Bind,278
VCT 2025: Pacific Stage 2,Group Stage,Week 4,DRX vs Global Esports,ban,Bind,918
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,Rex Regum Qeon vs T1,ban,Ascent,878
VCT 2025: China Stage 2,Playoffs,Upper Semifinals,Bilibili Gaming vs TYLOO,pick,Icebox,731
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Apeks,ban,Haven,11479
VCT 2025: Pacific Stage 1,Group Stage,Week 1,T1 vs ZETA DIVISION,pick,Fracture,5448
VCT 2025: Pacific Stage 1,Group Stage,Week 3,T1 vs Team Secret,pick,Icebox,6199
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Global Esports,ban,Lotus,918
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,DRX vs TALON,ban,Pearl,8185
VCT 2025: China Stage 1,Playoffs,Upper Final,Wolves Esports vs Xi Lai Gaming,ban,Icebox,13581
VCT 2025: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs 100 Thieves,ban,Haven,2355
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,G2 Esports vs Team Liquid,ban,Pearl,474
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,pick,Bind,8877
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,MIBR vs 100 Thieves,ban,Split,7386
VCT 2025: China Kickoff,Main Event,Lower Round 1,Xi Lai Gaming vs All Gamers,ban,Fracture,13581
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,pick,Ascent,14419
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,pick,Abyss,7386
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Global Esports vs Team Secret,pick,Bind,918
VCT 2025: China Stage 2,Group Stage,Week 1,Bilibili Gaming vs TYLOO,ban,Haven,12010
VCT 2025: China Stage 2,Group Stage,Week 3,Wolves Esports vs Dragon Ranger Gaming,ban,Sunset,13790
VCT 2025: China Stage 2,Group Stage,Week 4,Nova Esports vs Xi Lai Gaming,ban,Ascent,12064
VCT 2025: China Stage 2,Playoffs,Lower Round 2,TYLOO vs EDward Gaming,pick,Haven,731
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,pick,Pearl,1184
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Heretics,ban,Ascent,1001
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs ZETA DIVISION,ban,Ascent,5448
VCT 2025: Pacific Stage 1,Group Stage,Week 3,DRX vs Global Esports,pick,Ascent,8185
VCT 2025: China Stage 1,Group Stage,Week 5,Bilibili Gaming vs Trace Esports,pick,Ascent,12685
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,ban,Fracture,11058
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,ZETA DIVISION vs Nongshim RedForce,ban,Bind,5448
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,pick,Fracture,624
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LOUD vs KRÜ Esports,ban,Pearl,2355
VCT 2025: China Kickoff,Main Event,Lower Final,Bilibili Gaming vs EDward Gaming,pick,Pearl,12010
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,pick,Ascent,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Liquid vs Apeks,pick,Ascent,11479
VCT 2025: China Stage 2,Group Stage,Week 1,EDward Gaming vs Titan Esports Club,ban,Haven,14137
VCT 2025: China Stage 2,Group Stage,Week 3,Bilibili Gaming vs Trace Esports,ban,Corrode,12010
VCT 2025: China Stage 2,Group Stage,Week 4,Trace Esports vs Titan Esports Club,pick,Sunset,12685
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Heretics vs GIANTX,ban,Pearl,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Vitality vs FNATIC,ban,Icebox,2593
VCT 2025: China Stage 1,Group Stage,Week 2,Bilibili Gaming vs JDG Esports,ban,Haven,12010
VCT 2025: Americas Stage 1,Group Stage,Week 5,Sentinels vs 2Game Esports,ban,Ascent,2
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,ban,Haven,4915
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,BOOM Esports vs T1,ban,Abyss,14
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Global Esports vs Team Secret,ban,Lotus,6199
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,ban,Fracture,278
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,Gen.G vs DetonatioN FocusMe,ban,Bind,278
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,MIBR vs 100 Thieves,ban,Abyss,120
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,LEVIATÁN vs FURIA,ban,Abyss,2406
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Cloud9 vs MIBR,ban,Bind,188
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,Evil Geniuses vs MIBR,pick,Split,5248
VCT 2025: China Kickoff,Main Event,Upper Round 1,Xi Lai Gaming vs Wolves Esports,pick,Lotus,13581
