tournament,stage,match_type,match_name,map,team_a,team_a_score,team_a_attacker_score,team_a_defender_score,team_a_overtime_score,team_b,team_b_score,team_b_attacker_score,team_b_defender_score,team_b_overtime_score,duration
VCT 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,Haven,MIBR,13,6,7,0,G2 Esports,10,4,6,0,1:07:02
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Haven,BBL Esports,12,5,7,0,GIANTX,14,5,7,2,1:02:21
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Lotus,Gentle Mates,7,3,4,0,KOI,13,4,9,0,45:07
VCT 2025: Pacific Kickoff,Main Event,Lower Round 4,TALON vs Gen.G,Bind,TALON,7,5,2,0,Gen.G,13,6,7,0,52:32
VCT 2025: Americas Stage 2,Group Stage,Week 2,MIBR vs LEVIATÁN,Lotus,MIBR,8,5,3,0,LEVIATÁN,13,6,7,0,55:55
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Liquid vs Apeks,Ascent,Team Liquid,14,4,8,2,Apeks,12,4,8,0,1:02:42
VCT 2025: EMEA Stage 1,Group Stage,Week 1,FUT Esports vs KOI,Pearl,FUT Esports,13,8,5,0,KOI,4,0,4,0,52:39
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Lotus,Evil Geniuses,13,6,7,0,2Game Esports,11,5,6,0,57:27
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Team Liquid vs Karmine Corp,Icebox,Team Liquid,9,7,2,0,Karmine Corp,13,8,5,0,54:25
VCT 2025: Pacific Stage 1,Group Stage,Week 1,DRX vs Paper Rex,Lotus,DRX,13,10,3,0,Paper Rex,7,5,2,0,42:32
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Global Esports,Lotus,Paper Rex,13,7,6,0,Global Esports,9,4,5,0,54:27
VCT 2025: Americas Stage 1,Group Stage,Week 1,Cloud9 vs NRG,Pearl,Cloud9,13,9,4,0,Mega Minors,9,6,3,0,48:35
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Team Vitality vs G2 Esports,Bind,Team Vitality,13,7,5,1,G2 Esports,15,7,5,3,1:13:06
Valorant Masters Bangkok 2025,Playoffs,Lower Final,EDward Gaming vs T1,Haven,EDward Gaming,10,8,2,0,T1,13,9,4,0,47:05
VCT 2025: China Stage 1,Group Stage,Week 5,Dragon Ranger Gaming vs TYLOO,Fracture,Dragon Ranger Gaming,5,3,2,0,TYLOO,13,4,9,0,41:06
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,Pearl,G2 Esports,13,5,8,0,Evil Geniuses,11,4,7,0,57:09
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Lotus,Team Vitality,13,10,3,0,Team Liquid,6,4,2,0,40:16
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Gen.G vs Team Secret,Ascent,Gen.G,13,9,4,0,Team Secret,8,5,3,0,43:31
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Rex Regum Qeon vs Team Secret,Icebox,Rex Regum Qeon,13,12,1,0,Team Secret,4,4,0,0,38:34
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,TALON vs Nongshim RedForce,Lotus,TALON,13,10,3,0,Nongshim RedForce,5,3,2,0,1:05:20
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs T1,Sunset,Paper Rex,13,7,6,0,T1,8,3,5,0,48:42
VCT 2025: Pacific Stage 1,Group Stage,Week 2,T1 vs Nongshim RedForce,Icebox,T1,13,5,8,0,Nongshim RedForce,10,3,7,0,56:02
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,FUT Esports vs Team Vitality,Bind,FUT Esports,7,3,4,0,Team Vitality,13,4,9,0,1:01:52
VCT 2025: Americas Stage 2,Playoffs,Upper Final,Sentinels vs G2 Esports,Sunset,Sentinels,9,3,6,0,G2 Esports,13,4,9,0,51:24
VCT 2025: EMEA Stage 2,Group Stage,Week 5,KOI vs Natus Vincere,Corrode,KOI,16,5,7,4,Natus Vincere,14,5,7,2,1:06:20
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Global Esports vs Team Secret,Lotus,Global Esports,11,2,9,0,Team Secret,13,3,10,0,1:00:20
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,T1 vs Nongshim RedForce,Lotus,T1,13,10,3,0,Nongshim RedForce,6,4,2,0,59:31
VCT 2025: China Stage 2,Playoffs,Lower Round 2,Xi Lai Gaming vs All Gamers,Lotus,Xi Lai Gaming,13,11,2,0,All Gamers,1,0,1,0,34:53
VCT 2025: China Stage 2,Playoffs,Upper Final,Dragon Ranger Gaming vs Bilibili Gaming,Haven,Dragon Ranger Gaming,13,5,8,0,Bilibili Gaming,10,3,7,0,58:22
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,Cloud9 vs Evil Geniuses,Fracture,Cloud9,9,4,5,0,Evil Geniuses,13,5,8,0,57:18
VCT 2025: China Stage 2,Group Stage,Week 1,JDG Esports vs Trace Esports,Lotus,JDG Esports,13,8,5,0,Trace Esports,4,0,4,0,42:05
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,Gen.G vs DetonatioN FocusMe,Lotus,Gen.G,13,8,5,0,DetonatioN FocusMe,6,2,4,0,41:55
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,Lotus,FNATIC,13,3,10,0,Paper Rex,9,0,9,0,50:27
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Sunset,Evil Geniuses,7,6,1,0,2Game Esports,13,7,6,0,56:02
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Lotus,Sentinels,14,4,8,2,G2 Esports,12,4,8,0,1:00:49
VCT 2025: Americas Stage 2,Group Stage,Week 5,KRÜ Esports vs NRG,Haven,KRÜ Esports,5,2,3,0,Mega Minors,13,3,10,0,36:46
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Gen.G vs Nongshim RedForce,Lotus,Gen.G,9,5,4,0,Nongshim RedForce,13,6,7,0,1:08:02
VCT 2025: China Stage 1,Group Stage,Week 4,Trace Esports vs Xi Lai Gaming,Pearl,Trace Esports,11,4,7,0,Xi Lai Gaming,13,5,8,0,1:02:42
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,Fracture,Nongshim RedForce,12,6,6,0,Rex Regum Qeon,14,6,6,2,1:13:25
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,Corrode,T1,8,4,4,0,G2 Esports,13,5,8,0,46:50
VCT 2025: Americas Stage 2,Group Stage,Week 3,2Game Esports vs FURIA,Ascent,2Game Esports,13,10,3,0,FURIA,2,0,2,0,35:52
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Team Liquid vs Karmine Corp,Sunset,Team Liquid,12,7,5,0,Karmine Corp,14,7,5,2,1:01:49
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Gen.G vs Nongshim RedForce,Ascent,Gen.G,12,5,7,0,Nongshim RedForce,14,5,7,2,59:37
VCT 2025: China Stage 2,Group Stage,Week 4,Trace Esports vs Titan Esports Club,Sunset,Trace Esports,9,5,4,0,Titan Esports Club,13,6,7,0,1:01:51
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Paper Rex vs BOOM Esports,Ascent,Paper Rex,13,10,3,0,BOOM Esports,8,6,2,0,44:08
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs Evil Geniuses,Lotus,KRÜ Esports,12,7,5,0,Evil Geniuses,14,7,5,2,1:17:07
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,BBL Esports vs Team Heretics,Lotus,BBL Esports,7,4,3,0,Team Heretics,13,5,8,0,44:49
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,G2 Esports,10,8,2,0,Team Heretics,13,9,4,0,55:59
VCT 2025: Pacific Stage 2,Group Stage,Week 2,DRX vs Team Secret,Icebox,DRX,13,9,4,0,Team Secret,4,1,3,0,59:02
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Heretics vs Wolves Esports,Pearl,Team Heretics,10,4,6,0,Wolves Esports,13,5,8,0,54:31
VCT 2025: Americas Stage 1,Group Stage,Week 3,Cloud9 vs MIBR,Pearl,Cloud9,13,5,8,0,MIBR,9,2,7,0,1:00:19
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,LEVIATÁN vs FURIA,Split,LEVIATÁN,13,9,4,0,FURIA,6,3,3,0,46:44
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Lotus,Paper Rex,13,8,5,0,GIANTX,10,6,4,0,46:53
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Rex Regum Qeon vs Nongshim RedForce,Icebox,Rex Regum Qeon,13,9,4,0,Nongshim RedForce,3,0,3,0,38:09
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Fracture,Gen.G,6,4,2,0,Paper Rex,13,5,8,0,36:21
VCT 2025: Americas Kickoff,Main Event,Lower Round 4,MIBR vs KRÜ Esports,Bind,MIBR,8,6,2,0,KRÜ Esports,13,7,6,0,1:01:39
VCT 2025: Pacific Stage 2,Group Stage,Week 2,TALON vs DetonatioN FocusMe,Corrode,TALON,13,5,8,0,DetonatioN FocusMe,9,2,7,0,50:13
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs T1,Bind,Paper Rex,13,8,5,0,T1,6,2,4,0,41:27
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Sentinels vs FNATIC,Ascent,Sentinels,7,4,3,0,FNATIC,13,5,8,0,49:56
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,FUT Esports vs Team Vitality,Split,FUT Esports,13,9,4,0,Team Vitality,6,3,3,0,47:30
VCT 2025: China Stage 1,Group Stage,Week 3,Dragon Ranger Gaming vs EDward Gaming,Icebox,Dragon Ranger Gaming,2,2,0,0,EDward Gaming,13,3,10,0,42:31
VCT 2025: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs Evil Geniuses,Pearl,KRÜ Esports,7,2,5,0,Evil Geniuses,13,3,10,0,50:32
VCT 2025: Pacific Kickoff,Main Event,Upper Final,T1 vs DRX,Fracture,T1,10,4,6,0,DRX,13,5,8,0,50:27
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,Lotus,T1,9,4,5,0,G2 Esports,13,5,8,0,49:12
VCT 2025: China Stage 2,Group Stage,Week 3,Titan Esports Club vs Bilibili Gaming,Ascent,Titan Esports Club,8,3,5,0,Bilibili Gaming,13,4,9,0,48:26
VCT 2025: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Ascent,GIANTX,13,7,6,0,FNATIC,10,5,5,0,1:01:56
VCT 2025: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Dragon Ranger Gaming,Lotus,Titan Esports Club,11,7,4,0,Dragon Ranger Gaming,13,8,5,0,1:07:57
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,Lotus,Mega Minors,13,6,7,0,Cloud9,10,4,6,0,56:24
VCT 2025: EMEA Stage 2,Group Stage,Week 4,KOI vs Apeks,Haven,KOI,13,8,5,0,Apeks,8,4,4,0,44:40
VCT 2025: Americas Stage 2,Group Stage,Week 3,LEVIATÁN vs NRG,Lotus,LEVIATÁN,7,5,2,0,Mega Minors,13,6,7,0,51:57
VCT 2025: China Stage 2,Group Stage,Week 4,TYLOO vs JDG Esports,Corrode,TYLOO,13,7,6,0,JDG Esports,6,1,5,0,43:09
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Lotus,Sentinels,13,9,4,0,Wolves Esports,8,5,3,0,50:17
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Paper Rex vs BOOM Esports,Pearl,Paper Rex,10,4,6,0,BOOM Esports,13,5,8,0,1:06:49
VCT 2025: Americas Stage 1,Group Stage,Week 3,Cloud9 vs MIBR,Haven,Cloud9,11,3,8,0,MIBR,13,4,9,0,54:53
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Ascent,Rex Regum Qeon,10,5,5,0,FNATIC,13,6,7,0,57:19
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Team Vitality vs Team Heretics,Icebox,Team Vitality,6,5,1,0,Team Heretics,13,6,7,0,51:46
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Rex Regum Qeon vs DRX,Icebox,Rex Regum Qeon,13,8,5,0,DRX,4,0,4,0,40:42
VCT 2025: Americas Stage 1,Group Stage,Week 4,G2 Esports vs LEVIATÁN,Lotus,G2 Esports,13,6,7,0,LEVIATÁN,10,4,6,0,1:03:37
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Team Liquid vs Natus Vincere,Sunset,Team Liquid,13,9,4,0,Natus Vincere,4,1,3,0,36:42
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Gentle Mates,Split,Team Liquid,13,8,5,0,Gentle Mates,6,2,4,0,48:23
VCT 2025: Pacific Stage 1,Group Stage,Week 2,T1 vs Nongshim RedForce,Split,T1,13,4,9,0,Nongshim RedForce,11,3,8,0,1:00:30
Valorant Masters Bangkok 2025,Playoffs,Grand Final,G2 Esports vs T1,Haven,G2 Esports,9,6,3,0,T1,13,7,6,0,52:45
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,Gentle Mates vs FNATIC,Abyss,Gentle Mates,5,1,4,0,FNATIC,13,2,11,0,56:58
VCT 2025: Pacific Kickoff,Main Event,Lower Round 4,TALON vs Gen.G,Lotus,TALON,2,2,0,0,Gen.G,13,3,10,0,34:08
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,FNATIC vs BBL Esports,Corrode,FNATIC,13,6,7,0,BBL Esports,7,1,6,0,44:28
VCT 2025: Pacific Stage 2,Group Stage,Week 2,BOOM Esports vs Paper Rex,Bind,BOOM Esports,8,3,5,0,Paper Rex,13,4,9,0,55:27
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Nongshim RedForce vs Global Esports,Bind,Nongshim RedForce,13,8,5,0,Global Esports,8,4,4,0,49:16
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Gen.G vs G2 Esports,Icebox,Gen.G,11,8,3,0,G2 Esports,13,9,4,0,1:00:17
VCT 2025: China Stage 1,Group Stage,Week 3,JDG Esports vs Trace Esports,Lotus,JDG Esports,7,5,2,0,Trace Esports,13,6,7,0,1:03:18
VCT 2025: Americas Stage 1,Group Stage,Week 1,KRÜ Esports vs LOUD,Haven,KRÜ Esports,13,10,3,0,LOUD,2,0,2,0,34:40
VCT 2025: Americas Stage 1,Group Stage,Week 1,2Game Esports vs Evil Geniuses,Haven,2Game Esports,11,4,7,0,Evil Geniuses,13,5,8,0,58:34
VCT 2025: Americas Stage 1,Group Stage,Week 5,LEVIATÁN vs NRG,Icebox,LEVIATÁN,8,6,2,0,Mega Minors,13,7,6,0,44:28
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,2Game Esports vs FURIA,Lotus,2Game Esports,5,4,1,0,FURIA,13,5,8,0,38:57
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,G2 Esports vs Cloud9,Lotus,G2 Esports,13,8,5,0,Cloud9,6,2,4,0,48:13
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Haven,Bilibili Gaming,2,2,0,0,MIBR,13,3,10,0,34:58
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,Natus Vincere vs Team Vitality,Haven,Natus Vincere,13,6,7,0,Team Vitality,7,1,6,0,52:20
VCT 2025: China Stage 2,Group Stage,Week 4,EDward Gaming vs JDG Esports,Corrode,EDward Gaming,13,8,5,0,JDG Esports,5,1,4,0,48:32
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,Wolves Esports,13,4,9,0,Gen.G,9,1,8,0,49:13
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Vitality vs FNATIC,Lotus,Team Vitality,6,4,2,0,FNATIC,13,5,8,0,51:17
VCT 2025: Americas Stage 1,Group Stage,Week 4,NRG vs MIBR,Haven,Mega Minors,6,6,0,0,MIBR,13,7,6,0,49:42
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,Gentle Mates vs FNATIC,Fracture,Gentle Mates,6,5,1,0,FNATIC,13,6,7,0,44:41
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Rex Regum Qeon vs Team Secret,Lotus,Rex Regum Qeon,9,4,5,0,Team Secret,13,5,8,0,1:09:49
VCT 2025: Americas Stage 2,Group Stage,Week 3,MIBR vs 100 Thieves,Bind,MIBR,14,2,10,2,100 Thieves,12,2,10,0,1:02:04
VCT 2025: EMEA Stage 2,Group Stage,Week 4,KOI vs Apeks,Lotus,KOI,9,6,3,0,Apeks,13,7,6,0,47:51
VCT 2025: China Stage 2,Playoffs,Lower Round 2,TYLOO vs EDward Gaming,Ascent,TYLOO,11,5,6,0,EDward Gaming,13,6,7,0,51:45
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Gen.G vs Rex Regum Qeon,Lotus,Gen.G,9,7,2,0,Rex Regum Qeon,13,8,5,0,54:30
VCT 2025: China Stage 1,Playoffs,Lower Round 2,EDward Gaming vs Dragon Ranger Gaming,Lotus,EDward Gaming,13,8,5,0,Dragon Ranger Gaming,8,4,4,0,52:55
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,DRX,7,4,3,0,G2 Esports,13,5,8,0,44:40
VCT 2025: EMEA Stage 2,Playoffs,Upper Final,BBL Esports vs Team Liquid,Sunset,BBL Esports,13,8,5,0,Team Liquid,10,6,4,0,54:47
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,G2 Esports vs Paper Rex,Split,G2 Esports,10,7,3,0,Paper Rex,13,8,5,0,46:44
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,Sentinels,3,2,1,0,Paper Rex,13,3,10,0,38:48
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DetonatioN FocusMe vs BOOM Esports,Fracture,DetonatioN FocusMe,8,6,2,0,BOOM Esports,13,7,6,0,59:57
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,Split,G2 Esports,13,8,5,0,Evil Geniuses,7,3,4,0,46:03
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Abyss,Team Vitality,17,7,5,5,Karmine Corp,15,7,5,3,1:17:32
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,FURIA vs Evil Geniuses,Fracture,FURIA,7,2,5,0,Evil Geniuses,13,3,10,0,48:55
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,Ascent,2Game Esports,8,6,2,0,G2 Esports,13,7,6,0,1:02:41
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs T1,Corrode,BOOM Esports,10,6,4,0,T1,13,7,6,0,52:33
VCT 2025: China Stage 2,Playoffs,Upper Quarterfinals,All Gamers vs TYLOO,Lotus,All Gamers,3,2,1,0,TYLOO,13,3,10,0,53:59
VCT 2025: China Stage 2,Group Stage,Week 3,TYLOO vs EDward Gaming,Corrode,TYLOO,10,6,4,0,EDward Gaming,13,7,6,0,1:05:21
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Team Heretics vs FNATIC,Icebox,Team Heretics,8,5,3,0,FNATIC,13,6,7,0,55:22
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Pearl,Apeks,7,6,1,0,Gentle Mates,13,7,6,0,51:40
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,LOUD vs Sentinels,Pearl,LOUD,11,7,4,0,Sentinels,13,8,5,0,55:49
VCT 2025: Americas Stage 2,Group Stage,Week 2,FURIA vs Sentinels,Icebox,FURIA,0,0,0,0,Sentinels,13,1,12,0,33:49
VCT 2025: Pacific Stage 2,Group Stage,Week 3,BOOM Esports vs DetonatioN FocusMe,Lotus,BOOM Esports,10,6,4,0,DetonatioN FocusMe,13,7,6,0,1:11:25
VCT 2025: China Stage 2,Playoffs,Upper Semifinals,Bilibili Gaming vs TYLOO,Bind,Bilibili Gaming,13,9,4,0,TYLOO,7,4,3,0,1:08:04
VCT 2025: Americas Stage 1,Group Stage,Week 2,G2 Esports vs MIBR,Haven,G2 Esports,13,7,6,0,MIBR,11,6,5,0,1:03:03
VCT 2025: Americas Stage 2,Group Stage,Week 5,G2 Esports vs Cloud9,Ascent,G2 Esports,13,6,7,0,Cloud9,8,2,6,0,1:02:42
VCT 2025: EMEA Stage 2,Group Stage,Week 2,FUT Esports vs Team Vitality,Haven,FUT Esports,2,2,0,0,Team Vitality,13,3,10,0,34:48
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,T1 vs Nongshim RedForce,Ascent,T1,13,5,8,0,Nongshim RedForce,9,2,7,0,48:51
VCT 2025: EMEA Stage 2,Group Stage,Week 5,FUT Esports vs BBL Esports,Sunset,FUT Esports,11,5,6,0,BBL Esports,13,6,7,0,55:48
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,DRX vs T1,Fracture,DRX,14,7,5,2,T1,12,7,5,0,1:00:29
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,TALON vs Global Esports,Lotus,TALON,13,7,6,0,Global Esports,8,3,5,0,51:39
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,Abyss,MIBR,7,7,0,0,FNATIC,13,8,5,0,45:01
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Sunset,Natus Vincere,6,4,2,0,Apeks,13,5,8,0,40:00
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,FNATIC vs Karmine Corp,Corrode,FNATIC,14,4,8,2,Karmine Corp,12,4,8,0,1:00:01
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,Team Heretics vs Natus Vincere,Icebox,Team Heretics,3,3,0,0,Natus Vincere,13,4,9,0,41:04
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs TALON,Icebox,BOOM Esports,3,2,1,0,TALON,13,3,10,0,30:53
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Rex Regum Qeon vs Gen.G,Haven,Rex Regum Qeon,13,4,9,0,Gen.G,11,3,8,0,55:40
VCT 2025: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Gentle Mates,Fracture,FUT Esports,18,8,4,6,Gentle Mates,16,8,4,4,1:12:56
VCT 2025: Pacific Stage 1,Group Stage,Week 1,DetonatioN FocusMe vs Global Esports,Lotus,DetonatioN FocusMe,7,3,4,0,Global Esports,13,4,9,0,1:09:12
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Fracture,Rex Regum Qeon,2,2,0,0,Paper Rex,13,3,10,0,51:08
VCT 2025: China Stage 1,Group Stage,Week 3,Nova Esports vs FunPlus Phoenix,Icebox,Nova Esports,13,5,8,0,FunPlus Phoenix,11,4,7,0,1:08:15
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,Haven,Team Liquid,13,9,4,0,Apeks,6,3,3,0,37:23
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,Bind,FUT Esports,13,7,6,0,Team Liquid,11,6,5,0,55:54
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Fracture,Team Vitality,13,8,5,0,Team Liquid,8,4,4,0,48:14
VCT 2025: Pacific Kickoff,Main Event,Upper Final,T1 vs DRX,Lotus,T1,13,5,8,0,DRX,11,4,7,0,1:06:28
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Sunset,Team Liquid,3,1,2,0,EDward Gaming,13,2,11,0,40:44
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Haven,MIBR,13,10,3,0,Mega Minors,4,2,2,0,38:48
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FNATIC vs Karmine Corp,Icebox,FNATIC,13,6,7,0,Karmine Corp,11,5,6,0,59:55
VCT 2025: EMEA Stage 2,Group Stage,Week 2,KOI vs FNATIC,Haven,KOI,11,6,5,0,FNATIC,13,7,6,0,50:43
VCT 2025: EMEA Stage 2,Group Stage,Week 3,FUT Esports vs GIANTX,Bind,FUT Esports,13,7,6,0,GIANTX,5,0,5,0,42:45
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Apeks,Icebox,Team Heretics,13,7,6,0,Apeks,6,1,5,0,44:07
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,Split,G2 Esports,13,8,5,0,Sentinels,5,1,4,0,52:23
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,Abyss,Team Liquid,13,6,7,0,Apeks,9,3,6,0,58:28
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Pearl,T1,13,8,5,0,Gen.G,8,4,4,0,1:07:45
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LEVIATÁN vs MIBR,Lotus,LEVIATÁN,13,6,7,0,MIBR,7,1,6,0,1:04:05
VCT 2025: Americas Kickoff,Main Event,Lower Final,Sentinels vs MIBR,Split,Sentinels,13,9,4,0,MIBR,7,4,3,0,48:24
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,TALON vs Nongshim RedForce,Corrode,TALON,16,5,7,4,Nongshim RedForce,14,5,7,2,1:09:09
VCT 2025: China Stage 2,Group Stage,Week 2,TYLOO vs Titan Esports Club,Lotus,TYLOO,13,7,6,0,Titan Esports Club,10,5,5,0,56:22
VCT 2025: China Stage 2,Playoffs,Lower Round 1,EDward Gaming vs Trace Esports,Ascent,EDward Gaming,13,4,9,0,Trace Esports,11,3,8,0,57:00
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Liquid vs BBL Esports,Ascent,Team Liquid,13,12,1,0,BBL Esports,4,4,0,0,36:35
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,G2 Esports vs Trace Esports,Lotus,G2 Esports,13,7,6,0,Trace Esports,8,3,5,0,47:38
VCT 2025: Americas Stage 2,Group Stage,Week 3,LEVIATÁN vs NRG,Icebox,LEVIATÁN,11,3,8,0,Mega Minors,13,4,9,0,54:22
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Global Esports vs Team Secret,Bind,Global Esports,5,4,1,0,Team Secret,13,5,8,0,58:16
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,Wolves Esports,13,3,10,0,Gen.G,11,2,9,0,59:06
VCT 2025: Pacific Stage 1,Group Stage,Week 3,DRX vs Global Esports,Split,DRX,13,6,7,0,Global Esports,10,4,6,0,51:31
VCT 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,Lotus,MIBR,13,5,7,1,G2 Esports,15,5,7,3,1:05:11
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,FUT Esports vs FNATIC,Fracture,FUT Esports,13,6,7,0,FNATIC,6,0,6,0,42:58
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,Team Liquid,8,6,2,0,DRX,13,7,6,0,47:56
